#
#  Times of cadences affected by momentum dumps
#  Created Tue May 30 14:17:38 EDT 2023 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-09-23 17:57:40.405945 UTC, 1385.24918505, 1221760680.0, 113612, 7573
2018-09-23 17:59:40.405897 UTC, 1385.25057394, 1221760800.0, 113613, 7574
2018-09-23 18:01:40.405848 UTC, 1385.25196283, 1221760920.0, 113614, 7574
2018-09-23 18:03:40.405800 UTC, 1385.25335172, 1221761040.0, 113615, 7574
2018-09-23 18:05:40.405751 UTC, 1385.25474060, 1221761160.0, 113616, 7574
2018-09-23 18:07:40.405703 UTC, 1385.25612949, 1221761280.0, 113617, 7574
2018-09-26 05:53:40.318777 UTC, 1387.74640626, 1221976440.0, 115410, 7693
2018-09-26 05:55:40.318729 UTC, 1387.74779515, 1221976560.0, 115411, 7693
2018-09-26 05:57:40.318680 UTC, 1387.74918404, 1221976680.0, 115412, 7693
2018-09-26 05:59:40.318632 UTC, 1387.75057293, 1221976800.0, 115413, 7694
2018-09-26 06:01:40.318583 UTC, 1387.75196182, 1221976920.0, 115414, 7694
2018-09-26 06:03:40.318535 UTC, 1387.75335070, 1221977040.0, 115415, 7694
2018-09-26 06:05:40.318486 UTC, 1387.75473959, 1221977160.0, 115416, 7694
2018-09-26 06:07:40.318438 UTC, 1387.75612848, 1221977280.0, 115417, 7694
2018-09-28 17:53:40.231512 UTC, 1390.24640525, 1222192440.0, 117210, 7813
2018-09-28 17:55:40.231463 UTC, 1390.24779414, 1222192560.0, 117211, 7813
2018-09-28 17:57:40.231415 UTC, 1390.24918303, 1222192680.0, 117212, 7813
2018-09-28 17:59:40.231366 UTC, 1390.25057192, 1222192800.0, 117213, 7814
2018-09-28 18:01:40.231318 UTC, 1390.25196081, 1222192920.0, 117214, 7814
2018-09-28 18:03:40.231270 UTC, 1390.25334969, 1222193040.0, 117215, 7814
2018-09-28 18:05:40.231221 UTC, 1390.25473858, 1222193160.0, 117216, 7814
2018-09-28 18:07:40.231173 UTC, 1390.25612747, 1222193280.0, 117217, 7814
2018-10-01 05:53:40.144247 UTC, 1392.74640424, 1222408440.0, 119010, 7933
2018-10-01 05:55:40.144198 UTC, 1392.74779313, 1222408560.0, 119011, 7933
2018-10-01 05:57:40.144150 UTC, 1392.74918202, 1222408680.0, 119012, 7933
2018-10-01 05:59:40.144101 UTC, 1392.75057091, 1222408800.0, 119013, 7934
2018-10-01 06:01:40.144053 UTC, 1392.75195980, 1222408920.0, 119014, 7934
2018-10-01 06:03:40.144004 UTC, 1392.75334868, 1222409040.0, 119015, 7934
2018-10-01 06:05:40.143956 UTC, 1392.75473757, 1222409160.0, 119016, 7934
2018-10-01 06:07:40.143907 UTC, 1392.75612646, 1222409280.0, 119017, 7934
2018-10-03 17:53:40.056982 UTC, 1395.24640323, 1222624440.0, 120810, 8053
2018-10-03 17:55:40.056933 UTC, 1395.24779212, 1222624560.0, 120811, 8053
2018-10-03 17:57:40.056885 UTC, 1395.24918101, 1222624680.0, 120812, 8053
2018-10-03 17:59:40.056836 UTC, 1395.25056990, 1222624800.0, 120813, 8054
2018-10-03 18:01:40.056788 UTC, 1395.25195879, 1222624920.0, 120814, 8054
2018-10-03 18:03:40.056739 UTC, 1395.25334767, 1222625040.0, 120815, 8054
2018-10-03 18:05:40.056691 UTC, 1395.25473656, 1222625160.0, 120816, 8054
2018-10-03 18:07:40.056642 UTC, 1395.25612545, 1222625280.0, 120817, 8054
