#
#  Times of cadences affected by momentum dumps
#  Created Thu Dec 28 00:03:26 EST 2023 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2021-05-27 06:11:03.898114 UTC, 2361.75848476, 1306131120.0, 816699, 163339
2021-05-27 06:13:03.898060 UTC, 2361.75987365, 1306131240.0, 816700, 163339
2021-05-27 06:15:03.898005 UTC, 2361.76126253, 1306131360.0, 816701, 163339
2021-05-27 06:17:03.897951 UTC, 2361.76265142, 1306131480.0, 816702, 163339
2021-05-27 06:19:03.897896 UTC, 2361.76404031, 1306131600.0, 816703, 163340
2021-05-27 06:21:03.897841 UTC, 2361.76542920, 1306131720.0, 816704, 163340
2021-05-27 06:23:03.897787 UTC, 2361.76681809, 1306131840.0, 816705, 163340
2021-05-27 06:25:03.897732 UTC, 2361.76820698, 1306131960.0, 816706, 163340
2021-05-27 06:27:03.897678 UTC, 2361.76959586, 1306132080.0, 816707, 163340
2021-06-02 19:31:03.640399 UTC, 2368.31403733, 1306697520.0, 821419, 164283
2021-06-02 19:33:03.640344 UTC, 2368.31542622, 1306697640.0, 821420, 164283
2021-06-02 19:35:03.640290 UTC, 2368.31681511, 1306697760.0, 821421, 164283
2021-06-02 19:37:03.640235 UTC, 2368.31820399, 1306697880.0, 821422, 164283
2021-06-02 19:39:03.640181 UTC, 2368.31959288, 1306698000.0, 821423, 164284
2021-06-02 19:41:03.640126 UTC, 2368.32098177, 1306698120.0, 821424, 164284
2021-06-02 19:43:03.640071 UTC, 2368.32237066, 1306698240.0, 821425, 164284
2021-06-09 13:35:03.374975 UTC, 2375.06681203, 1307280960.0, 826281, 165255
2021-06-09 13:37:03.374921 UTC, 2375.06820092, 1307281080.0, 826282, 165255
2021-06-09 13:39:03.374867 UTC, 2375.06958981, 1307281200.0, 826283, 165256
2021-06-09 13:41:03.374812 UTC, 2375.07097870, 1307281320.0, 826284, 165256
2021-06-09 13:43:03.374758 UTC, 2375.07236759, 1307281440.0, 826285, 165256
2021-06-09 13:45:03.374704 UTC, 2375.07375647, 1307281560.0, 826286, 165256
2021-06-09 13:47:03.374650 UTC, 2375.07514536, 1307281680.0, 826287, 165256
2021-06-09 13:49:03.374596 UTC, 2375.07653425, 1307281800.0, 826288, 165257
2021-06-09 13:51:03.374542 UTC, 2375.07792314, 1307281920.0, 826289, 165257
2021-06-09 13:53:03.374488 UTC, 2375.07931203, 1307282040.0, 826290, 165257
2021-06-09 13:55:03.374434 UTC, 2375.08070092, 1307282160.0, 826291, 165257
2021-06-09 13:57:03.374379 UTC, 2375.08208980, 1307282280.0, 826292, 165257
2021-06-10 08:13:03.344721 UTC, 2375.84320057, 1307348040.0, 826840, 165367
2021-06-10 08:15:03.344667 UTC, 2375.84458946, 1307348160.0, 826841, 165367
2021-06-10 08:17:03.344613 UTC, 2375.84597835, 1307348280.0, 826842, 165367
2021-06-10 08:19:03.344559 UTC, 2375.84736724, 1307348400.0, 826843, 165368
2021-06-10 08:21:03.344505 UTC, 2375.84875612, 1307348520.0, 826844, 165368
2021-06-10 08:23:03.344451 UTC, 2375.85014501, 1307348640.0, 826845, 165368
2021-06-10 08:25:03.344397 UTC, 2375.85153390, 1307348760.0, 826846, 165368
2021-06-10 08:27:03.344343 UTC, 2375.85292279, 1307348880.0, 826847, 165368
2021-06-10 08:29:03.344288 UTC, 2375.85431168, 1307349000.0, 826848, 165369
2021-06-10 08:31:03.344234 UTC, 2375.85570057, 1307349120.0, 826849, 165369
2021-06-10 08:33:03.344180 UTC, 2375.85708945, 1307349240.0, 826850, 165369
2021-06-10 08:35:03.344126 UTC, 2375.85847834, 1307349360.0, 826851, 165369
2021-06-10 08:37:03.344072 UTC, 2375.85986723, 1307349480.0, 826852, 165369
2021-06-17 06:31:03.074714 UTC, 2382.77236411, 1307946720.0, 831829, 166365
2021-06-17 06:33:03.074660 UTC, 2382.77375300, 1307946840.0, 831830, 166365
2021-06-17 06:35:03.074606 UTC, 2382.77514189, 1307946960.0, 831831, 166365
2021-06-17 06:37:03.074552 UTC, 2382.77653078, 1307947080.0, 831832, 166365
2021-06-17 06:39:03.074498 UTC, 2382.77791966, 1307947200.0, 831833, 166366
2021-06-17 06:41:03.074444 UTC, 2382.77930855, 1307947320.0, 831834, 166366
2021-06-17 06:43:03.074390 UTC, 2382.78069744, 1307947440.0, 831835, 166366
2021-06-24 10:15:02.795869 UTC, 2389.92791644, 1308564960.0, 836981, 167395
2021-06-24 10:17:02.795815 UTC, 2389.92930533, 1308565080.0, 836982, 167395
2021-06-24 10:19:02.795761 UTC, 2389.93069421, 1308565200.0, 836983, 167396
2021-06-24 10:21:02.795706 UTC, 2389.93208310, 1308565320.0, 836984, 167396
2021-06-24 10:23:02.795652 UTC, 2389.93347199, 1308565440.0, 836985, 167396
2021-06-24 10:25:02.795598 UTC, 2389.93486088, 1308565560.0, 836986, 167396
2021-06-24 10:27:02.795544 UTC, 2389.93624977, 1308565680.0, 836987, 167396
2021-06-24 10:29:02.795489 UTC, 2389.93763865, 1308565800.0, 836988, 167397
2021-06-24 10:31:02.795435 UTC, 2389.93902754, 1308565920.0, 836989, 167397
2021-06-24 10:33:02.795381 UTC, 2389.94041643, 1308566040.0, 836990, 167397
2021-06-24 10:35:02.795326 UTC, 2389.94180532, 1308566160.0, 836991, 167397
2021-06-24 10:37:02.795272 UTC, 2389.94319421, 1308566280.0, 836992, 167397
2021-06-25 03:13:02.768227 UTC, 2390.63486056, 1308626040.0, 837490, 167497
2021-06-25 03:15:02.768173 UTC, 2390.63624945, 1308626160.0, 837491, 167497
2021-06-25 03:17:02.768118 UTC, 2390.63763834, 1308626280.0, 837492, 167497
2021-06-25 03:19:02.768064 UTC, 2390.63902723, 1308626400.0, 837493, 167498
2021-06-25 03:21:02.768010 UTC, 2390.64041611, 1308626520.0, 837494, 167498
2021-06-25 03:23:02.767956 UTC, 2390.64180500, 1308626640.0, 837495, 167498
2021-06-25 03:25:02.767901 UTC, 2390.64319389, 1308626760.0, 837496, 167498
2021-06-25 03:27:02.767847 UTC, 2390.64458278, 1308626880.0, 837497, 167498
2021-06-25 03:29:02.767793 UTC, 2390.64597167, 1308627000.0, 837498, 167499
2021-06-25 03:31:02.767738 UTC, 2390.64736056, 1308627120.0, 837499, 167499
2021-06-25 03:33:02.767684 UTC, 2390.64874944, 1308627240.0, 837500, 167499
2021-06-25 03:35:02.767630 UTC, 2390.65013833, 1308627360.0, 837501, 167499
2021-06-25 03:37:02.767575 UTC, 2390.65152722, 1308627480.0, 837502, 167499
2021-07-02 01:31:02.497289 UTC, 2397.56402409, 1309224720.0, 842479, 168495
2021-07-02 01:33:02.497234 UTC, 2397.56541298, 1309224840.0, 842480, 168495
2021-07-02 01:35:02.497180 UTC, 2397.56680187, 1309224960.0, 842481, 168495
2021-07-02 01:37:02.497126 UTC, 2397.56819075, 1309225080.0, 842482, 168495
2021-07-02 01:39:02.497072 UTC, 2397.56957964, 1309225200.0, 842483, 168496
2021-07-02 01:41:02.497017 UTC, 2397.57096853, 1309225320.0, 842484, 168496
2021-07-02 01:43:02.496963 UTC, 2397.57235742, 1309225440.0, 842485, 168496
2021-07-09 02:35:02.221873 UTC, 2404.60846534, 1309833360.0, 847551, 169509
2021-07-09 02:37:02.221819 UTC, 2404.60985423, 1309833480.0, 847552, 169509
2021-07-09 02:39:02.221765 UTC, 2404.61124312, 1309833600.0, 847553, 169510
2021-07-09 02:41:02.221711 UTC, 2404.61263201, 1309833720.0, 847554, 169510
2021-07-09 02:43:02.221658 UTC, 2404.61402090, 1309833840.0, 847555, 169510
2021-07-09 02:45:02.221604 UTC, 2404.61540979, 1309833960.0, 847556, 169510
2021-07-09 02:47:02.221550 UTC, 2404.61679867, 1309834080.0, 847557, 169510
2021-07-09 02:49:02.221496 UTC, 2404.61818756, 1309834200.0, 847558, 169511
2021-07-09 02:51:02.221443 UTC, 2404.61957645, 1309834320.0, 847559, 169511
